,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
5510,Apartment in bld with 2-4 units,Mixed-Humid,1970-1979,6.0867747269123065,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.761746493030188,4.764478968472973,4.776852007677701,6.331590813907806,6.815639990074331
5511,Detached house,Hot-Humid,2000-2009,7.5352967024440884,Central,D: 10-14 yrs,Central heat pump,0.0,1.0,0.0,0.0,3,1.5-2,0.0,1,Owned,6.384738983338736,4.302848136796795,5.509185886986634,7.000161245639072,7.6045956313797
5512,Detached house,Cold/Very Cold,.<1950,7.638198244285779,None,F: +20 yrs,Central furnace,1.0,0.0,0.0,1.0,3,0-1,1.0,2,Owned,0.0,6.075667818390056,5.117933930384341,6.630960392127414,7.2140186449702695
5513,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1970-1979,6.912742820493176,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.785322725497206,4.832305758571839,5.505046942593991,6.300969264070235,6.940483809604219
5514,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1970-1979,6.400257445308821,None,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,0.0,3.7419461750506287,4.74493212836325,6.187072448227671,6.463965056552305
5515,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,6.336825731146441,Individual,F: +20 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,1.7867469274045107,4.023206534388761,4.4499189007168,6.0140573957606165,6.316460467724131
5516,Apartment in bld with 5+ units,Cold/Very Cold,1960-1969,6.289715570908998,None,C: 5-9 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,5.561604282165096,5.873187639516929,6.811244378601294,7.327530835763628
5517,Detached house,Cold/Very Cold,1970-1979,7.841885928984623,Central,B: 2-4 yrs,Central heat pump,1.0,0.0,1.0,1.0,4,2.5-3.5,0.0,2,Owned,4.93461780767234,7.113125821929508,5.869889957587128,7.748856839032187,8.303289322464758
5518,Detached house,Hot-Humid,1990-1999,8.047829357457841,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,3.0,1,Owned,6.842384411540469,6.321703108973676,5.178576164935488,7.176506793774453,7.998335395952982
5519,Detached house,Hot-Humid,1950-1959,7.4413203897176174,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,0.0,3,0-1,1.0,1,Owned,6.61369289556607,4.709800435066175,4.918885435486688,5.842877528043656,7.196596679153765
5520,Detached house,Mixed-Humid,1960-1969,7.691200097522863,Central,C: 5-9 yrs,Central water system,1.0,0.0,0.0,0.0,4,1.5-2,2.0,1,Owned,6.144614726601657,6.738342050088895,5.351099551987006,7.047256317759695,7.889046925073704
5521,Detached house,Mixed-Humid,1970-1979,8.439447842791385,Central,F: +20 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,5.9382219857122625,6.49396561772774,5.651646720235672,7.321869541747762,7.9498642333165055
5522,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,.<1950,5.666426688112432,Central,C: 5-9 yrs,Central water system,0.0,1.0,0.0,0.0,,0-1,0.0,1,Rented,4.365388993520859,3.559055466277736,4.613832559066744,5.343864181504007,6.042632833682381
5523,Attached house,Mixed-Humid,1980-1989,7.742835955430749,None,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,2.5-3.5,0.0,3,Owned,0.0,6.18493208931219,5.883461654556327,6.84772922798644,7.48670860007983
5524,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,7.080867896690782,Central,D: 10-14 yrs,Central water system,0.0,0.0,0.0,0.0,4,0-1,0.0,1,Rented,3.040705639196722,4.730303916744857,5.524137333065655,6.244322228405583,6.799055862058796
5525,Apartment in bld with 5+ units,Mixed-Humid,1960-1969,6.142037405587356,None,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,5.173547479592087,4.898585790287632,6.648984550024776,6.985308737197203
5526,Apartment in bld with 5+ units,Hot-Humid,1980-1989,6.51471269087253,Central,D: 10-14 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,5.745148321262097,6.281855447370681,5.887630643362769,7.273210562670604,7.880868590532483
5527,Detached house,Mixed-Humid,2000-2009,8.048468743668883,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,5.409500895508652,6.837558111192839,5.333974043756071,6.918606194286374,7.771024908879039
5528,Detached house,Cold/Very Cold,.<1950,7.681560362559537,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,0-2,1.5-2,1.0,2,Owned,5.48217940286057,6.312895659606137,5.582330215625433,6.931403443887844,7.639464301841471
5529,Apartment in bld with 2-4 units,Mixed-Humid,1970-1979,6.55250788703459,Central,A: -2 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.651385609785055,5.757765481854255,5.572306111867815,6.984540378715558,7.47376202971083
5530,Detached house,Hot-Dry/Mixed-Dry,2000-2009,7.857093864902493,Central,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.5-3.5,2.0,2,Rented,6.935467717548673,5.672979565501156,5.1142142236716515,7.348928528122496,8.018592537272816
5531,Detached house,Cold/Very Cold,2000-2009,8.203304026795282,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.5-3.5,3.0,1,Owned,5.090000849476996,6.559884323099494,5.099622495636137,7.40504571396318,7.891255960549023
5532,Apartment in bld with 2-4 units,Mixed-Humid,.<1950,6.317164686747284,Central,D: 10-14 yrs,Other individual,1.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,3.6790816116338254,5.3938547932571,3.9460378840154235,5.777280737165244,6.447733663255986
5533,Detached house,Hot-Humid,2000-2009,8.034955024502159,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.5-3.5,2.0,2,Owned,6.6125919583156945,5.513106113479493,6.231819135152546,7.268857408456846,7.983753792778661
5534,Detached house,Cold/Very Cold,1970-1979,7.0587581525186645,Individual,C: 5-9 yrs,Other individual,0.0,0.0,1.0,0.0,3,0-1,1.0,1,Rented,3.0978374964911444,3.6747805297344347,5.072357352724253,6.22100757800276,6.581124456391781
5535,Detached house,Hot-Humid,1990-1999,7.745002803515839,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,0.0,0-2,1.5-2,2.0,2,Owned,5.651857401791282,5.8608716898989766,5.225316473663546,6.472485388381767,7.290197379932761
5536,Detached house,Mixed-Humid,1960-1969,6.984716320118266,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,5.509185886986634,6.174119381692057,5.15675380222625,6.055237150005048,7.188450500134351
5537,Detached house,Hot-Dry/Mixed-Dry,2000-2009,7.288244401020124,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,4,2.5-3.5,2.0,1,Owned,5.496512272498282,5.327973251455547,5.600826473242987,6.661778011258983,7.312853653184976
5538,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,7.1098794630722715,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,3.6831128592195994,5.82070588167848,5.608665609498729,6.303040132467206,7.084218039833112
5539,Detached house,Mixed-Humid,1970-1979,7.148345743900068,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,4,0-1,0.0,1,Owned,5.35696356198077,6.76764227499206,5.919055131589841,7.831716517160512,8.28643320858574
